"PMID","Title","Abstract"
"41548748","Recognition of esophageal intubation in Dutch prehospital emergency medical services using capnography analysis: a retrospective cohort study.","Unrecognized esophageal intubation during prehospital cardiopulmonary resuscitation (CPR) leads to inadequate oxygenation and ventilation and often results in death. This study describes and analyzes, using mathematical calculations, how esophageal capnography differs from normal capnography in out-of-hospital cardiac arrest (OHCA) patients, in order to assess whether these differences could support future detection. We conducted a retrospective analysis using the Rotterdam Helicopter Emergency Medical Service (HEMS) database from January 2015 to November 2024. Cases of unrecognized esophageal intubation after ground EMS airway management were identified and analyzed for capnography waveform patterns before and after HEMS reintubation. HEMS data were supplemented with ambulance and monitor data from the Corpuls Manager database. Capnography waveforms were manually annotated and analyzed for CO  levels, trend, area under the curve, and upslope. Out of 5830 cases with intubation prior or during HEMS deployment, 92 were identified as esophageal intubations, with 14 cases involving OHCA in our region of interest with usable capnography. The median maximal esophageal CO  was 2.5 kPa, and the median maximal tracheal CO  was 10.8 kPa. Esophageal intubations showed a downward trend approaching near-zero values of CO  within eight ventilations. Significant differences were found in the median corrected area under the curve and median upslope between esophageal and tracheal intubations. This study uses analysis of waveform morphology to distinguish esophageal from tracheal intubation. While etCO  values can appear numerically similar, the waveform morphology differs significantly. These findings represent an important first step toward developing automated tools for detecting inadequate ventilation by esophageal intubation. Larger datasets and prospective validation are needed before clinical implementation."
"40952743","Advanced Airway Devices and End-Tidal Capnography Trends in Cardiac Arrest: A Secondary Analysis of a Randomized Clinical Trial.","While variable advanced airway devices are used in out-of-hospital cardiac arrest (OHCA) resuscitation, potential differences in ventilation metrics are not well known. To characterize differences in end-tidal carbon dioxide (EtCO2) capnography trajectories between laryngeal tube (LT) and endotracheal intubation (ETI) during OHCA. This secondary analysis of EtCO2 capnography waveforms from the Pragmatic Airway Resuscitation Trial (PART), a multicenter cluster-crossover randomized clinical trial, was performed November 1, 2023, through July 8, 2025. Participants in this analysis were adults (aged ≥18 years) with nontraumatic OHCA from 27 emergency medical services (EMS) agencies, which were placed into 13 clusters. Participants were assigned to LT or ETI airway management. All cases with 50% or greater interpretable EtCO2 signal were included. LT vs ETI airway management. Mean maximal EtCO2 values within 1-minute epochs and trends over resuscitation after LT or ETI. Associations with OHCA outcomes were also evaluated, including sustained return of spontaneous circulation (ROSC) and 72-hour survival. Using the Mann-Whitney test, EtCO2 of LT and ETI cases were compared at 20-, 10-, and 1-minute resuscitation. EtCO2 trends over time were evaluated using Cochran-Armitage test of trend. Covariates in multivariable logistic regression models for outcomes were adjusted, including interaction between advanced airway device and EtCO2 trends. Of the 3004 cases in PART, 1113 (818 in LT and 295 in ETI groups) had available EtCO2 data and were included in the secondary analysis. Patients were mostly male (694 [62.4%]), had a median (IQR) age of 64 (52-75) years, and had a nonshockable (941 [84.6%]), nonpublic (999 [89.8%]) OHCA. ROSC occurred in 144 patients (17.6%) receiving LT and 54 (18.3%) receiving ETI. EtCO2 values did not differ between LT and ETI groups (20-minute resuscitation: 33.9 vs 29.4 mm Hg, P = .07; 10-minute resuscitation: 30.9 vs 28.5 mm Hg, P = .89; 1-minute resuscitation: 32.2 vs 28.3 mm Hg, P = .28). In ROSC compared with non-ROSC cases, patients in LT (27.9 to 52.3 mm Hg vs 32.6 to 23.5 mm Hg; P < .001) and ETI (38.2 to 46.7 mm Hg vs 27.7 to 20.0 mm Hg; P < .001) groups exhibited increasing EtCO2 during resuscitation. EtCO2 trend and advanced airway interaction was associated with ROSC (odds ratio [OR], 1.75; 95% CI, 1.25-2.45) but not survival (OR, 1.21; 95% CI, 0.90-1.61). Therefore, we performed an advanced airway stratified analysis for ROSC (ETI: OR, 2.34 [95% CI, 1.67-3.26]; LT: OR, 1.33 [95% CI, 1.20-1.47]). In this secondary analysis of PART, EtCO2 values did not differ between LT and ETI. However, due to significant interaction between advanced airway device and EtCO2 trends, individual interpretation of these parameters may not be accurate."
"40800008","System.Xml.XmlElement","An increase in both regional cerebral oxygen saturation (rSO ) measured by near-infrared spectroscopy (NIRS) and end-tidal carbon dioxide (etCO ) during advanced life support for out-of-hospital cardiac arrest (OHCA) is associated with a higher likelihood of return of spontaneous circulation (ROSC) and may predict neurological outcome. However, it remains unclear which marker is more predictive for which outcome parameter. In this prospective observational study, we assessed rSO  and etCO  in patients treated for OHCA in the metropolitan area of Vienna between 05/2017 and 02/2022. Follow-up was performed for survival and neurological performance at hospital discharge and at six and 12 months after OHCA. rSO  and etCO  were compared between individuals with favourable and unfavourable outcomes, and cut-off values using ROC analyses were identified. Median rSO  and etCO  values of the included 176 patients during CPR were higher in those achieving sustained ROSC (rSO : 59 % (IQR 16.1) vs 46 % (IQR 14.3), p < 0.001; etCO : 40 (IQR 18.7) vs. 25 (IQR 20.9) mmHg, p < 0.001) and in patients with cerebral performance category (CPC) 1 or 2 (rSO : 66 % (IQR 15.5) vs 48 % (IQR 14.8), p < 0.001; etCO : 50 (IQR 16.1) vs. 28 mmHg, p = 0.013). ROC analysis for median rSO  values yielded an optimal cutoff of 60 % (sensitivity 86 %, specificity 87 %) for CPC 1/2, and for median etCO  values 49 mmHg (sensitivity 67 %, specificity 94 %) for CPC 1/2. In ROC analyses, etCO  trends achieved better results for sustained ROSC prediction than rSO . In contrast, rSO  outperformed etCO  for the prediction of neurological outcome. Measuring RSO  and etCO  during advanced life support is associated with critical clinical outcomes. Our findings suggest that these two parameters reflect different physiological aspects of resuscitation and may provide complementary information. Further research should examine the potential of using rSO  alongside etCO  in CPR algorithms."
"40688246","Effect of prehospital advanced airway management on arterial blood gases in the pragmatic airway resuscitation trial.","Advanced airway devices facilitate ventilation and oxygenation during out-of-hospital cardiac arrest (OHCA). Differences in gas exchange between advanced airway devices are unknown. Characterize arterial blood gases (ABG) in laryngeal tube (LT) or endotracheal intubation (ETI) cases in the Pragmatic Airway Resuscitation Trial (PART). We included adult OHCAs with ABG collected ≤ 1.5 h after emergency department (ED) arrival. We collected 1) last prehospital airway technique used 2) ABG measurements (pH, PaO , PaCO ), and 3) average prehospital end-tidal capnography (EtCO ) values for the last five minutes. We compared airway types, ABG values, and PaCO -EtCO  absolute difference (PaCO -EtCO ) using the Mann-Whitney test, stratifying by circulation status. We also determined prehospital EtCO  and ED PaCO  correlation. Of 3004 cases, 401 met inclusion with 272 LT and 129 ETI. Among cases achieving return of spontaneous circulation (ROSC), pH (7.1 vs. 7.2,   = 0.10) and PaO  (142 vs 170 mmHg,   = 0.08) did not differ. PaCO  was higher in LT than ETI (58 vs 50 mmHg,   = 0.003). Among cases without ROSC, pH (7.0 vs. 7.0,   = 0.55) and PaCO  (64 vs. 61 mmHg,   = 0.58) did not differ, but PaO  was lower in LT than ETI (85 vs. 123 mmHg,   = 0.03). EtCO  did not correlate with PaCO  in any airway device/ROSC combination. PaCO -EtCO  difference was wider in both LT and ETI non-ROSC cases compared to ROSC cases (27 vs 18 mmHg,   = 0.03). ABG values may vary by prehospital advanced airway management methods. The correlation between EtCO  and PaCO  in OHCA patients remains unclear."
"40391858","Ventilation Rates and Capnography in Pediatric Out-of-Hospital Cardiac Arrest with Advanced Airways.","Ventilation is important in out-of-hospital cardiac arrest resuscitation; however, few studies describe ventilation rates during pediatric out-of-hospital cardiac arrest (pOHCA). Our objective was to characterize ventilations and end-tidal capnography (EtCO ) after advanced airway placement by emergency medical services (EMS) during pOHCA resuscitation. This was a retrospective cohort study that included pediatric (age < 18 years) non-traumatic OHCA treated by an urban fire-based EMS system (Columbus Division of Fire, Columbus, Ohio) from April 2019 to December 2020. We identified ventilations delivered during resuscitation by manual review of continuous EtCO  recorded by cardiac monitors. We also identified ventilations using automated detection algorithms previously validated in adult resuscitation. Mean ventilation rate and EtCO  were summarized in one-minute (min) epochs from advanced airway insertion through end of resuscitation efforts. We compared return of spontaneous circulation (ROSC) vs non-ROSC ventilation rates using Student's t-tests. Cochran-Armitage test of trend was used to evaluate EtCO  temporal trends. Associations between ROSC and EtCO  were tested using a regression model. We identified 38 pOHCA cases and 30 cases were included for ventilation analysis. Cases were primarily infants (0.7 years, IQR 0.17-2), male (52.6%), and African-American race (63.1%). Most pOHCAs were unwitnessed (65.8%) with non-shockable rhythms (94.8%) and infrequent bystander cardiopulmonary resuscitation (31.2%). Eight patients achieved ROSC (21.2%) and two patients survived (5.3%). Advanced airway attempts included supraglottic airway devices (71.1%), endotracheal intubation (7.8%), or both (7.8%). Ventilation rates ranged from 0-23 per minute. Automated ventilation detection algorithms performed well in pediatric ventilation detection where the mean standard error was 3.7 mmHg in EtCO  values and 1.3 per minute in ventilation rates. Ventilation rates differed between ROSC and non-ROSC groups (9.2 vs 6.9 per min,   < 0.001). Ranges of EtCO  values included 0-100 mmHg during resuscitation. The EtCO  trends over time differed between ROSC and non-ROSC groups (59.82 mmHg to 75.9 mmHg vs 20.7 mmHg to 19.0 mmHg,   < 0.01). EtCO  was significantly associated with ROSC (OR 1.0 95% CI 1.00-1.01,   < 0.001). These results offer one of the first perspectives of ventilation in pOHCA. Differences were observed in ventilation rates and EtCO  trends between ROSC and non-ROSC cases."
"40311838","The peak end-tidal carbon dioxide concentration recorded during cardiopulmonary resuscitation as an indicator of survival: a nationwide cohort study of pediatric out-of-hospital cardiac arrests.","Although the end-tidal carbon dioxide concentration (ETCO ) recorded during resuscitation has been reported as an indicator of survival in a few studies of pediatric in-hospital cardiac arrest, the relationship between ETCO  and survival in pediatric out-of-hospital cardiac arrest (OHCA) has not previously been investigated (particularly with regard to the cause of the OHCA). This study aimed to determine whether quantitative measurement of ETCO  during resuscitation is predictive of survival in cases of pediatric OHCA. This nationwide, population-based cohort study analyzed data from the French RéAC OHCA registry, including all patients under 18 years of age with trauma-related OHCA or medical OHCA from 2011 to 2023. The highest ETCO  value was recorded during advanced cardiopulmonary resuscitation. The main outcomes were return of spontaneous circulation (ROSC) and day (d)30 survival. Discriminant ability was evaluated using the area under the receiver operating characteristic curve (AUROC), and the Youden index was used to determine the optimal ETCO  cut-off value. A total of 1209 pediatric OHCAs (226 (19%) trauma-related and 983 (81%) medical) were included. The victims' median [interquartile range] age was 6 [0;14] years. ROSC was achieved in 347 (29%) cases and d30 survival was achieved in 61 (5%) cases. In both trauma-related and medical OHCAs, the peak recorded ETCO  value was higher in patients who achieved ROSC and in d30 survivors. The AUROC [95% confidence interval] for the highest ETCO  that predicted ROSC and d30 survival were respectively 0.808 [0.745-0.872] and 0.854 [0.761-0.947] for the trauma-related OHCA group and 0.803 [0.774-0.831] and 0.732 [0.676-0.787] for the medical OHCA group. In both groups, the probability of ROSC and d30 survival increased with higher ETCO  values, with optimal cut-offs of 21 and 29 mmHg for trauma-related OHCA and 27 and 26 mmHg for medical OHCA, respectively. Further studies are necessary to clarify the use of ETCO  in optimizing pediatric ALS."
"39356210","The Evaluation of Online Medical Consultation Use in Pediatric Out-of-Hospital Cardiac Arrest.","Our study details Online medical consultation (OLMC) usage for Pediatric out-of-hospital cardiac arrest (P-OHCA), including proportion of P-OHCA utilizing OLMC, the characteristics of cases using OLMC, the types of information exchanged during OLMC calls, and the outcomes in patients where Emergency Medical Services (EMS) contacted OLMC. The study included P-OHCA patients treated by EMS agencies participating in the regional cardiac registry with total catchment population of approximately 1.5 million residents. We reviewed linked calls and EMS charts for P-OHCA cases treated from January 1st, 2018 through December 31st, 2022. In total, 112 cases from January 2018 to December 2022 were included in the final analysis. Twenty-two out of 112 utilized OLMC with a mean time from 9-1-1 call to OLMC of 28.8 min. The no OLMC group had a significantly higher transport rate than OLMC group as well as higher percentages of ROSC at any time and ROSC upon arrival at the ED. Both survival to admission and survival to discharge were more prevalent in the no OLMC group, while there were no instances of survival to discharge in the OLMC group. During the calls, the discussion of crucial prognostic factors, including witness status, initial rhythm, ETCO2, and arrest duration, appears inconsistent. Pediatric-OHCA cases with OLMC tend to contact OLMC late in the resuscitation, have poor prognostic factors, and have poor survival outcomes. The information exchanged during OLMC calls was highly variable, representing a clear opportunity for improvement. Future studies should explore the potential effect of early OLMC contact on patient outcomes and if a standardized template for OLMC data exchange improves consistency in recommendations for P-OHCA."
"39028238","End-tidal Carbon Dioxide Trajectory-based Prognostication of Out-of-hospital Cardiac Arrest.","During cardiopulmonary resuscitation (CPR), end-tidal carbon dioxide (EtCO ) is primarily determined by pulmonary blood flow, thereby reflecting the blood flow generated by CPR. We aimed to develop an EtCO  trajectory-based prediction model for prognostication at specific time points during CPR in patients with out-of-hospital cardiac arrest (OHCA). We screened patients receiving CPR between 2015-2021 from a prospectively collected database of a tertiary-care medical center. The primary outcome was survival to hospital discharge. We used group-based trajectory modeling to identify the EtCO  trajectories. Multivariable logistic regression analysis was used for model development and internally validated using bootstrapping. We assessed performance of the model using the area under the receiver operating characteristic curve (AUC). The primary analysis included 542 patients with a median age of 68.0 years. Three distinct EtCO  trajectories were identified in patients resuscitated for 20 minutes (min): low (average EtCO  10.0 millimeters of mercury [mm Hg]; intermediate (average EtCO  26.5 mm Hg); and high (average EtCO : 51.5 mm Hg). Twenty-min EtCO  trajectory was fitted as an ordinal variable (low, intermediate, and high) and positively associated with survival (odds ratio 2.25, 95% confidence interval [CI] 1.07-4.74). When the 20-min EtCO  trajectory was combined with other variables, including arrest location and arrest rhythms, the AUC of the 20-min prediction model for survival was 0.89 (95% CI 0.86-0.92). All predictors in the 20-min model remained statistically significant after bootstrapping. Time-specific EtCO  trajectory was a significant predictor of OHCA outcomes, which could be combined with other baseline variables for intra-arrest prognostication. For this purpose, the 20-min survival model achieved excellent discriminative performance in predicting survival to hospital discharge."
"39006133","Pre-hospital care after return of spontaneous circulation: Are we achieving our targets?","Early restoration of normal physiology when return of spontaneous circulation (ROSC) is obtained after an out-of-hospital cardiac arrest (OHCA) reduces the risk of developing post-cardiac arrest syndrome (PCAS). This study aims to investigate if (and to which extent) this can be achieved within the scope of practice of standard emergency medical services (EMS) crews. A prospective mixed-methods quantitative and qualitative cohort study was performed including adult patients with a non-traumatic OHCA presented to a university hospital emergency department (ED) in the Netherlands after pre-hospital ROSC was obtained. Primary endpoint was the percentage of patients with deranged physiology post-ROSC in whom EMS crews were able to reach recommended treatment targets. During a 32-month period, 160 patients presenting with ROSC after OHCA were included. Median (IQR) pre-hospital treatment duration was 40 (34-51) minutes. When deranged physiology was present (n = 133), it could be restored by EMS crews in 29% of the patients. Although average etCO  and SpO  improved gradually over time during pre-hospital treatment, recommended treatment targets could not be achieved in respectively 55% (30/55) and 43% (20/46) of the patients. Similarly, airway problems (24/46, 52%), hypotension (20/23, 87%) and post-anoxic agitation (16/43, 37%) could often not be resolved by EMS crews. The ability to restore normal physiology by EMS could not be predicted based on patient characteristics or in-arrest variables. Deranged physiology after an OHCA is commonly encountered, and often difficult to treat within the scope of practice of regular EMS crews. Involvement of advanced critical care teams with a wider scope of practice at an early stage may contribute to a better outcome for these patients."
"38967927","Temporal Trends in End-Tidal Capnography and Outcomes in Out-of-Hospital Cardiac Arrest: A Secondary Analysis of a Randomized Clinical Trial.","While widely measured, the time-varying association between exhaled end-tidal carbon dioxide (EtCO2) and out-of-hospital cardiac arrest (OHCA) outcomes is unclear. To evaluate temporal associations between EtCO2 and return of spontaneous circulation (ROSC) in the Pragmatic Airway Resuscitation Trial (PART). This study was a secondary analysis of a cluster randomized trial performed at multicenter emergency medical services agencies from the Resuscitation Outcomes Consortium. PART enrolled 3004 adults (aged ≥18 years) with nontraumatic OHCA from December 1, 2015, to November 4, 2017. EtCO2 was available in 1172 cases for this analysis performed in June 2023. PART evaluated the effect of laryngeal tube vs endotracheal intubation on 72-hour survival. Emergency medical services agencies collected continuous EtCO2 recordings using standard monitors, and this secondary analysis identified maximal EtCO2 values per ventilation and determined mean EtCO2 in 1-minute epochs using previously validated automated signal processing. All advanced airway cases with greater than 50% interpretable EtCO2 signal were included, and the slope of EtCO2 change over resuscitation was calculated. The primary outcome was ROSC determined by prehospital or emergency department palpable pulses. EtCO2 values were compared at discrete time points using Mann-Whitney test, and temporal trends in EtCO2 were compared using Cochran-Armitage test of trend. Multivariable logistic regression was performed, adjusting for Utstein criteria and EtCO2 slope. Among 1113 patients included in the study, 694 (62.4%) were male; 285 (25.6%) were Black or African American, 592 (53.2%) were White, and 236 (21.2%) were another race; and the median (IQR) age was 64 (52-75) years. Cardiac arrest was most commonly unwitnessed (n = 579 [52.0%]), nonshockable (n = 941 [84.6%]), and nonpublic (n = 999 [89.8%]). There were 198 patients (17.8%) with ROSC and 915 (82.2%) without ROSC. Median EtCO2 values between ROSC and non-ROSC cases were significantly different at 10 minutes (39.8 [IQR, 27.1-56.4] mm Hg vs 26.1 [IQR, 14.9-39.0] mm Hg; P < .001) and 5 minutes (43.0 [IQR, 28.1-55.8] mm Hg vs 25.0 [IQR, 13.3-37.4] mm Hg; P < .001) prior to end of resuscitation. In ROSC cases, median EtCO2 increased from 30.5 (IQR, 22.4-54.2) mm HG to 43.0 (IQR, 28.1-55.8) mm Hg (P for trend < .001). In non-ROSC cases, EtCO2 declined from 30.8 (IQR, 18.2-43.8) mm Hg to 22.5 (IQR, 12.8-35.4) mm Hg (P for trend < .001). Using adjusted multivariable logistic regression with slope of EtCO2, the temporal change in EtCO2 was associated with ROSC (odds ratio, 1.45 [95% CI, 1.31-1.61]). In this secondary analysis of the PART trial, temporal increases in EtCO2 were associated with increased odds of ROSC. These results suggest value in leveraging continuous waveform capnography during OHCA resuscitation. ClinicalTrials.gov Identifier: NCT02419573."
